Teta[i]: 0.0, Fi[j]: 0.0 |  rez: 0.054216847372292154 
Teta[i]: 0.0, Fi[j]: 1.0471975511965976 |  rez: 0.054216847372292154 
Teta[i]: 0.0, Fi[j]: 2.0943951023931953 |  rez: 0.054216847372292154 
Teta[i]: 0.0, Fi[j]: 3.141592653589793 |  rez: 0.054216847372292154 
Teta[i]: 0.0, Fi[j]: 4.1887902047863905 |  rez: 0.054216847372292154 
Teta[i]: 0.0, Fi[j]: 5.235987755982988 |  rez: 0.054216847372292154 
Teta[i]: 0.0, Fi[j]: 6.283185307179585 |  rez: 0.054216847372292154 
Teta[i]: 1.0471975511965976, Fi[j]: 0.0 |  rez: 0.03366606006000996 
Teta[i]: 1.0471975511965976, Fi[j]: 1.0471975511965976 |  rez: 0.06901106516277875 
Teta[i]: 1.0471975511965976, Fi[j]: 2.0943951023931953 |  rez: 0.06901106516277876 
Teta[i]: 1.0471975511965976, Fi[j]: 3.141592653589793 |  rez: 0.03366606006000996 
Teta[i]: 1.0471975511965976, Fi[j]: 4.1887902047863905 |  rez: 0.06901106516277875 
Teta[i]: 1.0471975511965976, Fi[j]: 5.235987755982988 |  rez: 0.06901106516277879 
Teta[i]: 1.0471975511965976, Fi[j]: 6.283185307179585 |  rez: 0.03366606006000996 
Teta[i]: 2.0943951023931953, Fi[j]: 0.0 |  rez: 0.03366606006000996 
Teta[i]: 2.0943951023931953, Fi[j]: 1.0471975511965976 |  rez: 0.06901106516277876 
Teta[i]: 2.0943951023931953, Fi[j]: 2.0943951023931953 |  rez: 0.06901106516277876 
Teta[i]: 2.0943951023931953, Fi[j]: 3.141592653589793 |  rez: 0.03366606006000996 
Teta[i]: 2.0943951023931953, Fi[j]: 4.1887902047863905 |  rez: 0.06901106516277875 
Teta[i]: 2.0943951023931953, Fi[j]: 5.235987755982988 |  rez: 0.06901106516277879 
Teta[i]: 2.0943951023931953, Fi[j]: 6.283185307179585 |  rez: 0.03366606006000996 
